time,pm.10,aqi,tempF,rh,co2,TVOC,pm.2.5,noise,light
2024-08-26 17:05:00-04:00,12.6,67.1,84.5,58.4,1509.7,20.6,11.6,50.4,18.6
2024-08-26 17:10:00-04:00,12.2,68.2,84.5,58.1,1474.1,20.3,11.2,51.9,26.2
2024-08-26 17:15:00-04:00,12.5,69.1,84.4,58.7,1429.7,20,11.5,53.5,26.1
2024-08-26 17:20:00-04:00,12.3,68.8,84.2,59.2,1439.6,20.6,11.3,56.4,26.1
2024-08-26 17:25:00-04:00,12.7,67.1,84,60.5,1469.1,20.1,11.7,53,26.4
2024-08-26 17:30:00-04:00,12.5,65.8,83.5,61.3,1512.2,20,11.5,52.8,26.4
2024-08-26 17:35:00-04:00,12.4,66.6,83.2,61.7,1482.7,20.1,11.4,52.6,26.4
2024-08-26 17:40:00-04:00,12.1,67.9,83.2,61.9,1437.4,20,11.1,53.6,26.4
2024-08-26 17:45:00-04:00,12.8,67.7,83.2,62.3,1418.9,20,11.8,54.3,26.5
2024-08-26 17:50:00-04:00,12.8,68.4,82.9,62.9,1367.5,20.2,11.8,53.3,26.4
2024-08-26 17:55:00-04:00,12.9,67.8,82.8,63.2,1367.4,20.2,11.9,53.5,26.4
2024-08-26 18:00:00-04:00,12.6,66.3,82.7,63.7,1392.1,21,11.6,53.4,26.2
2024-08-26 18:05:00-04:00,13,63.4,82.3,65,1432.9,20.4,12,55.1,26.3
2024-08-26 18:10:00-04:00,12.4,62.5,81.7,66.6,1430.1,20.1,11.4,56.9,26.3
2024-08-26 18:15:00-04:00,12.2,62.7,81.5,67.1,1420.3,20.2,11.2,56.6,26.3
2024-08-26 18:20:00-04:00,11.3,63.4,81.3,67.4,1408.1,20.9,10.3,56.5,26.2
2024-08-26 18:25:00-04:00,11.1,63.8,81.3,67.5,1401,20.4,10.1,56.5,26.3
2024-08-26 18:30:00-04:00,10.6,64.2,81.2,67.5,1389.7,20.3,9.6,56.5,26.3
2024-08-26 18:35:00-04:00,10.8,64.5,81.1,67.7,1374.9,21.3,9.8,56.3,26.3
2024-08-26 18:40:00-04:00,10.6,64.9,81.1,67.8,1363.5,21.7,9.6,56.4,26.3
2024-08-26 18:45:00-04:00,10.6,64.9,81,68,1358,22.9,9.6,56.4,26.2
2024-08-26 18:50:00-04:00,10.8,64.8,81,68.2,1354.3,23,9.8,56.4,26.2
2024-08-26 18:55:00-04:00,10.9,64.4,81,68.3,1358.1,23.3,9.9,57.6,25.9
2024-08-26 19:00:00-04:00,11.1,63.5,81.3,67.7,1395.8,24.2,10.1,56.4,6.8
2024-08-26 19:05:00-04:00,11.5,64.2,81.2,67.5,1369.7,23.7,10.5,55.9,0
2024-08-26 19:10:00-04:00,12.3,64.9,81.1,67.5,1327.8,23.8,11.3,55.9,0
2024-08-26 19:15:00-04:00,12.1,65.1,81,67.7,1290.9,22.6,11.1,55.9,0
2024-08-26 19:20:00-04:00,12.4,65.5,80.9,67.8,1261,21.4,11.4,55.9,0
2024-08-26 19:25:00-04:00,11.6,66,80.8,67.7,1235.1,21.4,10.6,56.1,0.9
2024-08-26 19:30:00-04:00,11.7,65.1,80.9,68.6,1249.9,23.1,10.7,57.6,26
2024-08-26 19:35:00-04:00,11.9,64.8,80.9,68.8,1267.1,25.4,10.9,57.8,25.7
2024-08-26 19:40:00-04:00,12.2,64.3,80.9,68.8,1291,27.7,11.2,57.8,25.5
2024-08-26 19:45:00-04:00,11.9,63.9,80.9,69,1325.1,28.6,10.9,57.3,25.3
