time,pm.10,aqi,tempF,rh,co2,voc,pm.2.5,noise,light
2024-07-11 13:25:00-04:00,7.7,79.0,85.0,55.1,875.3,21.3,6.7,70.4,23.5
2024-07-11 13:30:00-04:00,7.4,78.5,85.2,55.2,886.6,20.3,6.5,65.9,60.0
2024-07-11 13:35:00-04:00,8.2,78.9,85.4,53.7,918.3,21.7,7.2,54.6,60.9
2024-07-11 13:40:00-04:00,7.4,81.2,85.4,52.0,854.0,23.0,6.4,54.7,60.7
2024-07-11 13:45:00-04:00,7.5,82.8,85.1,51.1,793.4,24.7,6.6,54.9,60.5
2024-07-11 13:50:00-04:00,8.7,82.3,84.8,52.2,802.2,49.0,7.8,59.8,60.3
2024-07-11 13:55:00-04:00,8.8,82.8,84.4,51.7,830.1,29.5,7.8,54.4,59.9
2024-07-11 14:00:00-04:00,8.5,84.3,84.2,51.0,782.5,20.5,7.6,54.0,60.0
2024-07-11 14:05:00-04:00,8.3,85.3,84.3,50.4,738.1,20.8,7.4,54.0,59.9
2024-07-11 14:10:00-04:00,7.7,86.0,84.2,49.6,704.2,20.7,6.8,53.9,59.6
2024-07-11 14:15:00-04:00,6.7,86.4,84.2,49.2,678.3,21.2,5.7,53.8,60.0
2024-07-11 14:20:00-04:00,6.3,87.0,84.2,48.7,658.2,20.6,5.3,53.9,59.7
2024-07-11 14:25:00-04:00,6.2,87.0,84.1,48.4,641.1,21.6,5.2,54.1,59.7
2024-07-11 14:30:00-04:00,5.7,87.0,84.1,47.9,635.1,22.1,4.7,54.7,59.6
2024-07-11 14:35:00-04:00,5.1,87.0,84.1,47.4,626.3,22.3,4.2,55.2,59.4
2024-07-11 14:40:00-04:00,4.7,87.0,84.1,47.1,615.5,22.5,3.8,55.0,59.1
2024-07-11 14:45:00-04:00,5.0,87.8,84.1,46.8,608.5,23.0,4.0,54.8,59.4
2024-07-11 14:50:00-04:00,4.2,87.8,84.1,46.4,601.2,22.5,3.3,54.8,59.3
2024-07-11 14:55:00-04:00,4.2,88.0,84.1,46.1,593.3,22.7,3.3,54.9,58.6
2024-07-11 15:00:00-04:00,4.0,88.0,84.2,45.8,584.9,22.3,3.0,54.7,59.2
2024-07-11 15:05:00-04:00,4.0,88.0,84.1,45.6,581.4,23.9,3.0,54.7,59.2
2024-07-11 15:10:00-04:00,3.9,88.0,84.1,45.5,578.7,25.5,3.0,54.7,59.0
2024-07-11 15:15:00-04:00,3.7,88.0,84.1,45.2,576.8,25.0,2.8,54.1,59.3
2024-07-11 15:20:00-04:00,4.2,88.0,84.1,45.0,576.1,24.6,3.2,53.3,59.5
2024-07-11 15:25:00-04:00,4.3,88.5,84.0,44.7,571.6,25.0,3.3,53.5,59.6
2024-07-11 15:30:00-04:00,5.0,89.0,84.0,44.5,566.1,25.9,4.1,53.3,59.1
2024-07-11 15:35:00-04:00,4.9,89.0,83.9,44.3,562.6,25.3,4.0,53.2,59.1
2024-07-11 15:40:00-04:00,4.6,89.0,83.9,44.1,562.5,25.7,3.6,53.1,59.1
2024-07-11 15:45:00-04:00,4.3,89.0,83.8,44.0,559.9,26.1,3.3,53.1,59.5
2024-07-11 15:50:00-04:00,4.1,89.0,83.8,43.8,553.4,28.5,3.1,54.7,59.3
2024-07-11 15:55:00-04:00,3.9,89.0,83.8,43.8,553.6,29.3,3.0,54.8,59.6
2024-07-11 16:00:00-04:00,3.7,89.0,83.7,43.5,550.8,27.2,2.8,55.0,59.4
2024-07-11 16:05:00-04:00,4.2,89.2,83.8,43.5,547.6,26.8,3.2,55.6,59.4
2024-07-11 16:10:00-04:00,3.9,89.7,83.7,43.5,547.4,26.1,3.0,55.8,59.0
2024-07-11 16:15:00-04:00,3.9,89.2,83.7,43.4,551.2,26.6,2.9,55.2,59.7
2024-07-11 16:20:00-04:00,3.8,89.7,83.6,43.1,550.0,26.6,2.8,55.2,59.7
2024-07-11 16:25:00-04:00,3.3,90.0,83.6,42.9,544.0,27.7,2.4,55.1,59.5
2024-07-11 16:30:00-04:00,3.7,90.0,83.7,42.7,540.4,27.3,2.7,55.4,59.3
2024-07-11 16:35:00-04:00,3.1,90.0,83.6,42.6,536.0,27.1,2.2,54.2,58.9
2024-07-11 16:40:00-04:00,3.4,90.0,83.6,42.5,536.7,27.4,2.5,53.9,59.0
2024-07-11 16:45:00-04:00,3.7,90.0,83.5,42.4,538.4,28.1,2.7,54.0,58.8
2024-07-11 16:50:00-04:00,5.5,89.6,83.5,43.1,550.7,29.7,4.5,56.2,58.7
2024-07-11 16:55:00-04:00,4.7,89.0,83.4,43.0,570.7,29.1,3.8,54.1,59.2
2024-07-11 17:00:00-04:00,4.7,89.0,83.4,42.7,579.8,29.2,3.7,54.1,59.4
2024-07-11 17:05:00-04:00,4.1,89.0,83.3,42.5,589.9,29.8,3.1,54.1,59.2
2024-07-11 17:10:00-04:00,3.6,89.0,83.3,42.2,603.0,28.1,2.7,54.7,58.8
2024-07-11 17:15:00-04:00,4.0,88.9,83.2,42.1,617.2,27.6,3.1,55.0,59.0
2024-07-11 17:20:00-04:00,5.2,88.4,83.2,41.9,628.2,29.5,4.2,55.1,59.0
2024-07-11 17:25:00-04:00,6.1,88.2,83.2,41.9,637.6,29.4,5.1,55.1,58.8
2024-07-11 17:30:00-04:00,6.3,88.0,83.2,41.7,646.6,30.1,5.3,55.3,58.8
2024-07-11 17:35:00-04:00,5.6,88.0,83.2,41.6,656.7,29.9,4.6,55.8,58.3
2024-07-11 17:40:00-04:00,5.8,88.0,83.2,41.6,667.9,31.2,4.9,56.7,58.2
2024-07-11 17:45:00-04:00,6.3,87.7,83.2,41.7,707.8,30.8,5.4,56.6,58.2
2024-07-11 17:50:00-04:00,5.9,87.2,83.2,41.3,716.8,30.1,5.0,54.9,58.2
2024-07-11 17:55:00-04:00,5.4,87.9,83.1,41.1,705.5,31.1,4.4,53.8,58.6
2024-07-11 18:00:00-04:00,5.1,88.0,83.1,41.0,689.6,30.3,4.1,53.7,58.5
2024-07-11 18:05:00-04:00,4.9,88.0,83.0,40.8,674.9,28.7,3.9,53.8,58.5
2024-07-11 18:10:00-04:00,5.0,88.8,82.9,40.8,657.4,28.3,4.1,53.9,58.3
2024-07-11 18:15:00-04:00,4.6,89.0,82.9,40.7,643.6,28.7,3.7,53.7,58.5
2024-07-11 18:20:00-04:00,4.6,89.0,82.8,40.6,631.7,28.2,3.6,53.6,59.2
2024-07-11 18:25:00-04:00,4.6,89.0,82.8,40.6,622.0,27.7,3.7,55.0,59.3
2024-07-11 18:30:00-04:00,5.1,89.0,82.8,40.7,622.0,29.9,4.1,55.8,59.3
2024-07-11 18:35:00-04:00,5.1,89.0,82.8,40.5,628.5,30.2,4.1,55.6,59.4
2024-07-11 18:40:00-04:00,5.0,89.0,82.7,40.6,632.7,30.7,4.0,55.6,34.9
2024-07-11 18:45:00-04:00,5.1,89.0,82.7,41.3,643.2,33.7,4.2,55.0,0.0
2024-07-11 18:50:00-04:00,5.1,89.0,82.8,41.3,646.3,37.1,4.2,54.7,0.0
2024-07-11 18:55:00-04:00,5.0,89.0,82.9,41.0,653.1,36.1,4.0,54.7,0.0
2024-07-11 19:00:00-04:00,5.0,88.4,83.0,40.7,663.1,37.2,4.0,54.9,0.0
2024-07-11 19:05:00-04:00,4.8,88.0,83.0,40.5,680.1,35.6,3.9,54.6,0.0
2024-07-11 19:10:00-04:00,4.6,88.0,83.0,40.3,690.6,37.5,3.7,53.6,0.0
2024-07-11 19:15:00-04:00,4.6,88.0,83.0,40.3,697.1,38.4,3.7,53.7,0.0
2024-07-11 19:20:00-04:00,4.4,88.0,82.9,40.2,702.8,36.1,3.5,53.7,0.0
2024-07-11 19:25:00-04:00,4.2,88.0,82.9,40.2,711.9,37.7,3.3,53.9,0.0
2024-07-11 19:30:00-04:00,4.5,88.0,82.8,40.2,714.4,38.6,3.5,53.8,0.0
2024-07-11 19:35:00-04:00,4.2,88.0,82.8,40.3,722.1,36.4,3.2,53.6,0.0
2024-07-11 19:40:00-04:00,4.5,88.0,82.8,40.4,726.0,37.5,3.6,54.3,0.0
2024-07-11 19:45:00-04:00,4.6,88.0,82.8,40.1,738.3,38.2,3.6,55.1,0.0
2024-07-11 19:50:00-04:00,4.1,87.0,82.9,39.6,747.1,34.7,3.2,54.8,0.0
2024-07-11 19:55:00-04:00,4.0,87.0,82.9,39.3,757.4,35.4,3.1,54.7,0.0
2024-07-11 20:00:00-04:00,4.3,87.0,82.9,39.2,759.9,34.9,3.3,54.7,0.0
2024-07-11 20:05:00-04:00,4.1,86.7,83.0,39.1,761.0,36.2,3.2,54.7,0.0
2024-07-11 20:10:00-04:00,4.1,86.1,83.0,39.0,763.6,37.0,3.1,54.8,0.0
2024-07-11 20:15:00-04:00,4.2,86.0,83.0,39.0,764.3,36.4,3.2,54.8,0.0
2024-07-11 20:20:00-04:00,4.1,86.1,83.0,39.0,766.0,39.4,3.1,53.7,0.0
2024-07-11 20:25:00-04:00,3.8,86.7,82.9,39.1,767.5,38.4,2.8,53.4,0.0
2024-07-11 20:30:00-04:00,4.0,87.0,82.8,39.4,765.0,40.7,3.0,53.3,0.0
2024-07-11 20:35:00-04:00,3.9,87.0,82.7,39.6,761.3,42.1,3.0,53.2,0.0
2024-07-11 20:40:00-04:00,3.9,87.1,82.6,39.6,761.2,42.5,2.9,53.3,0.0
2024-07-11 20:45:00-04:00,4.0,87.3,82.6,39.6,761.6,44.4,3.1,53.4,0.0
2024-07-11 20:50:00-04:00,3.9,87.2,82.5,39.6,763.9,47.6,3.0,53.6,0.0
2024-07-11 20:55:00-04:00,4.1,87.6,82.5,39.6,761.2,47.0,3.1,53.6,0.0
2024-07-11 21:00:00-04:00,4.0,87.6,82.5,39.5,761.2,49.3,3.0,53.6,0.0
2024-07-11 21:05:00-04:00,4.0,87.9,82.4,39.5,761.8,47.5,3.1,53.6,0.0
2024-07-11 21:10:00-04:00,4.2,88.0,82.4,39.5,759.0,47.1,3.2,53.7,0.0
2024-07-11 21:15:00-04:00,4.0,88.0,82.4,39.6,754.8,48.5,3.1,53.5,0.0
2024-07-11 21:20:00-04:00,4.0,88.0,82.3,39.6,754.5,49.9,3.0,53.6,0.0
2024-07-11 21:25:00-04:00,4.3,88.0,82.3,39.6,755.6,51.9,3.3,53.6,0.0
2024-07-11 21:30:00-04:00,4.1,88.0,82.2,39.8,755.7,51.3,3.2,53.7,0.0
2024-07-11 21:35:00-04:00,4.3,87.9,82.3,39.4,755.7,52.9,3.3,54.1,0.0
2024-07-11 21:40:00-04:00,4.4,87.0,82.4,38.8,759.6,51.3,3.4,54.2,0.0
2024-07-11 21:45:00-04:00,4.1,87.0,82.4,38.6,761.2,53.0,3.1,54.5,0.0
2024-07-11 21:50:00-04:00,4.0,87.0,82.5,38.5,762.4,51.8,3.1,54.3,0.0
2024-07-11 21:55:00-04:00,4.1,86.9,82.5,38.4,768.3,52.9,3.1,54.5,0.0
2024-07-11 22:00:00-04:00,4.2,86.4,82.5,38.4,774.7,53.1,3.2,54.5,0.0
2024-07-11 22:05:00-04:00,3.9,86.0,82.5,38.4,781.5,53.5,3.0,54.6,0.0
2024-07-11 22:10:00-04:00,3.9,86.0,82.5,38.3,788.3,53.8,2.9,54.6,0.0
2024-07-11 22:15:00-04:00,3.7,86.0,82.5,38.2,790.3,54.1,2.7,54.6,0.0
2024-07-11 22:20:00-04:00,3.9,86.0,82.6,38.3,786.5,55.4,2.9,54.7,0.0
2024-07-11 22:25:00-04:00,3.6,86.0,82.5,38.2,780.7,54.8,2.7,54.6,0.0
2024-07-11 22:30:00-04:00,3.7,86.0,82.6,38.1,779.3,54.0,2.7,54.7,0.0
2024-07-11 22:35:00-04:00,3.8,86.0,82.6,38.2,777.6,55.5,2.8,54.7,0.0
2024-07-11 22:40:00-04:00,3.8,86.0,82.5,38.3,782.5,57.9,2.8,54.8,0.0
2024-07-11 22:45:00-04:00,3.3,86.0,82.5,38.3,780.5,59.3,2.3,54.8,0.0
2024-07-11 22:50:00-04:00,3.7,86.1,82.5,38.3,774.5,59.0,2.7,54.7,0.0
2024-07-11 22:55:00-04:00,3.2,86.8,82.4,38.5,778.5,55.4,2.2,54.6,0.0
2024-07-11 23:00:00-04:00,3.5,87.5,82.2,39.2,771.7,53.6,2.5,53.2,0.0
2024-07-11 23:05:00-04:00,3.7,88.0,82.1,39.5,754.6,48.4,2.7,53.4,0.0
2024-07-11 23:10:00-04:00,3.5,88.1,82.1,39.5,740.5,44.7,2.6,53.4,0.0
2024-07-11 23:15:00-04:00,3.6,88.4,82.0,39.5,736.9,44.9,2.7,53.3,0.0
2024-07-11 23:20:00-04:00,3.6,88.9,82.0,39.6,734.9,42.5,2.7,53.2,0.0
2024-07-11 23:25:00-04:00,3.3,89.0,81.9,39.7,731.1,41.3,2.4,53.1,0.0
2024-07-11 23:30:00-04:00,3.3,89.0,81.8,39.7,728.9,39.3,2.4,53.2,0.0
2024-07-11 23:35:00-04:00,3.6,89.0,81.8,40.2,721.8,39.8,2.6,54.4,0.0
2024-07-11 23:40:00-04:00,3.2,89.6,81.8,40.5,706.6,37.8,2.3,54.5,0.0
2024-07-11 23:45:00-04:00,3.6,89.9,81.8,40.4,702.7,39.5,2.7,54.5,0.0
2024-07-11 23:50:00-04:00,3.4,89.7,81.8,40.0,703.4,37.4,2.4,54.6,0.0
2024-07-11 23:55:00-04:00,3.0,89.3,81.8,39.9,707.7,38.2,2.1,54.5,0.0
2024-07-12 00:00:00-04:00,3.4,89.3,81.8,39.8,703.3,36.2,2.4,54.6,0.0
2024-07-12 00:05:00-04:00,3.3,89.1,81.8,39.7,705.8,36.3,2.4,54.6,0.0
2024-07-12 00:10:00-04:00,3.3,89.4,81.7,39.8,702.1,37.0,2.3,54.5,0.0
2024-07-12 00:15:00-04:00,3.4,90.0,81.7,40.1,693.6,34.5,2.4,53.1,0.0
2024-07-12 00:20:00-04:00,3.4,90.0,81.6,40.3,694.1,33.7,2.4,53.1,0.0
2024-07-12 00:25:00-04:00,3.1,90.0,81.6,40.0,693.8,33.4,2.1,53.1,0.0
2024-07-12 00:30:00-04:00,3.5,90.0,81.5,40.1,691.8,31.3,2.5,53.0,0.0
2024-07-12 00:35:00-04:00,3.5,90.0,81.5,40.2,689.0,31.8,2.5,53.0,0.0
2024-07-12 00:40:00-04:00,3.4,90.0,81.4,40.3,683.1,31.8,2.5,53.0,0.0
2024-07-12 00:45:00-04:00,3.7,90.0,81.4,40.4,679.3,30.9,2.8,53.0,0.0
2024-07-12 00:50:00-04:00,3.4,90.5,81.4,40.6,677.2,33.9,2.5,53.9,0.0
2024-07-12 00:55:00-04:00,3.9,90.9,81.4,40.9,670.1,39.8,3.0,54.3,0.0
2024-07-12 01:00:00-04:00,3.7,91.0,81.4,40.9,667.3,41.1,2.8,54.3,0.0
2024-07-12 01:05:00-04:00,4.1,91.0,81.4,40.8,669.9,40.8,3.1,54.2,0.0
2024-07-12 01:10:00-04:00,4.0,91.0,81.3,40.6,669.2,39.8,3.1,54.2,0.0
2024-07-12 01:15:00-04:00,3.7,91.0,81.3,40.7,671.0,40.6,2.8,54.4,0.0
2024-07-12 01:20:00-04:00,3.9,90.9,81.3,40.6,671.5,41.2,2.9,54.4,0.0
2024-07-12 01:25:00-04:00,4.0,91.0,81.3,40.6,670.0,41.3,3.0,53.3,0.0
2024-07-12 01:30:00-04:00,3.8,91.0,81.3,40.7,668.5,40.3,2.8,52.6,0.0
2024-07-12 01:35:00-04:00,3.9,91.0,81.2,40.9,664.6,40.8,2.9,52.6,0.0
2024-07-12 01:40:00-04:00,3.9,91.0,81.2,40.9,666.9,40.0,2.9,52.6,0.0
