device,time,aqi,TVOC,dust.0.3,dust.0.5,dust.1.0,dust.2.5,dust.5,dust.10,pm.1.0,pm.2.5,pm.10,rh,tDewC,vBat,boot,Unnamed: 18,tempF
eui-0002cc01000009d9,2024-10-04 19:51:32.677000-04:00,27,0,1005.5,282.375,39.796875,1.60009765625,0.0,0.0,5.0,6.400390625,6.400390625,48.89600976577401,18.337610158586617,4.18701171875,3,,86.48515625
eui-0002cc01000009d9,2024-10-04 19:52:29.259000-04:00,17,0,764.5,213.0,11.5,0.0,0.0,0.0,4.0,4.0,4.0,50.67673762111848,17.750134267207503,0.010009765625,3,,84.2140625
eui-0002cc01000009d9,2024-10-04 19:53:24.907000-04:00,16,171,761.75,196.625,10.33203125,1.0,1.60009765625,0.0,3.2998046875,3.7001953125,3.900390625,52.15686274509804,17.534328496020393,4.190185546875,3,,82.89921875
eui-0002cc01000009d9,2024-10-04 19:54:21.522000-04:00,14,132,724.75,190.0,11.3984375,1.60009765625,0.0,0.0,3.0,3.400390625,3.5,52.924391546501866,17.4231790292847,0.008056640625,3,,82.23125
eui-0002cc01000009d9,2024-10-04 19:55:18.131000-04:00,22,69,786.0,219.0,26.0,1.60009765625,0.0,0.0,4.0,5.19921875,5.19921875,53.22194247348745,17.30248166177416,4.18701171875,3,,81.8234375
eui-0002cc01000009d9,2024-10-04 19:56:14.739000-04:00,6,12,241.1875,73.40625,15.1015625,0.0,0.0,0.0,1.0,1.39990234375,1.39990234375,53.48897535667964,17.305785694468877,0.010009765625,3,,81.67578125
eui-0002cc01000009d9,2024-10-04 19:57:11.360000-04:00,21,7,811.75,233.1875,25.796875,0.0,0.0,0.0,4.0,5.0,5.0,53.75906004425117,17.32039900165512,4.188232421875,3,,81.54921875
eui-0002cc01000009d9,2024-10-04 19:58:07.977000-04:00,20,7,755.5,214.375,33.59375,1.0,1.0,1.0,4.0,4.69921875,5.30078125,53.800259403372245,17.278260890788275,4.18701171875,3,,81.44375
eui-0002cc01000009d9,2024-10-04 19:59:04.578000-04:00,17,4,780.75,222.4375,18.203125,0.0,0.0,0.0,4.0,4.0,4.0,53.91775387197681,17.27297367346718,0.008056640625,3,,81.36640625
eui-0002cc01000009d9,2024-10-04 20:00:01.265000-04:00,17,4,783.0,206.0,19.203125,1.0,1.0,0.0,4.0,4.0,4.30078125,53.965056839856565,17.286846790499855,4.18701171875,3,,81.36640625
eui-0002cc01000009d9,2024-10-04 20:00:57.789000-04:00,18,6,766.25,213.0,18.3984375,0.0,0.0,0.0,4.0,4.30078125,4.30078125,53.94979781795987,17.267897734736493,0.008056640625,3,,81.33828125
